key,key:userAccount,employeeCode,phoneNumber,languageSkills,salary,yearsOfExperience,availabilityStatus,key:airline
#yearsOfExperience,"","","","","","",""
flight-crew-member-24,user-account-flighCrewMember-01,AG111000,123456,Lorem ipsum dolor sit ame,EUR 10000,0,AVAILABLE,Airline-01
flight-crew-member-25,user-account-flighCrewMember-01,AG111222,123456,Lorem ipsum dolor sit ame,EUR 10000,1,AVAILABLE,Airline-01
flight-crew-member-26,user-account-flighCrewMember-01,AG111333,123456,Lorem ipsum dolor sit ame,EUR 10000,120,AVAILABLE,Airline-01
flight-crew-member-27,user-account-flighCrewMember-01,AG111444,123456,Lorem ipsum dolor sit ame,EUR 10000,119,AVAILABLE,Airline-01
flight-crew-member-28,user-account-flighCrewMember-01,AG111555,123456,Lorem ipsum dolor sit ame,EUR 10000,null,AVAILABLE,Airline-01
#avaliabilityStatus,"","","","","","",""
flight-crew-member-29,user-account-flighCrewMember-01,AG111666,123456,Lorem ipsum dolor sit ame,EUR 10000,2,AVAILABLE,Airline-01
flight-crew-member-30,user-account-flighCrewMember-01,AG111777,123456,Lorem ipsum dolor sit ame,EUR 10000,2,ON_VACATION,Airline-01
flight-crew-member-31,user-account-flighCrewMember-01,AG111888,123456,Lorem ipsum dolor sit ame,EUR 10000,2,ON_LEAVE,Airline-01
#airline,"","","","","","",""
flight-crew-member-32,user-account-flighCrewMember-01,AG111122,123456,Lorem ipsum dolor sit ame,EUR 10000,2,AVAILABLE,Airline-01
flight-crew-member-33,user-account-flighCrewMember-01,AG111100,123456,Lorem ipsum dolor sit ame,EUR 10000,2,AVAILABLE,Airline-01
flight-crew-member-34,user-account-flighCrewMember-01,AG111133,123456,Lorem ipsum dolor sit ame,EUR 10000,2,AVAILABLE,Airline-02
